batter,match_phase,total_runs,balls_faced,dismissals,strike_rate,average,strike_rate_norm,average_norm,weighted_score,match_phase_num,dismissals_norm,will_perform
SE Rutherford,Death,66,41,5.0,160.97560975609758,13.2,0.6042889340146835,0.11918819188191881,0.5072687855881306,2,0.05263157894736842,1
KA Jamieson,Death,53,33,4.0,160.6060606060606,13.25,0.6027336493942167,0.11969557195571956,0.5061260339065173,2,0.042105263157894736,1
NLTC Perera,Death,265,169,14.0,156.80473372781066,18.928571428571427,0.5867353843988373,0.1773194517659462,0.5048521978722591,2,0.14736842105263157,1
AM Rahane,Death,474,308,20.0,153.89610389610388,23.7,0.5744941243568875,0.2257380073800738,0.5047429009615247,2,0.21052631578947367,0
Mohammad Nabi,Death,111,70,8.0,158.57142857142856,13.875,0.594170696640962,0.1260378228782288,0.5005441218884153,2,0.08421052631578947,0
LMP Simmons,Death,56,36,3.0,155.55555555555557,18.666666666666668,0.5814780929145067,0.1746617466174662,0.5001148236550986,2,0.031578947368421054,1
MF Maharoof,Death,135,87,7.0,155.17241379310346,19.285714285714285,0.5798656024229424,0.1809435951502372,0.5000812009684014,2,0.07368421052631578,1
Y Venugopal Rao,Death,382,243,24.0,157.20164609053498,15.916666666666666,0.5884058298412269,0.14675584255842558,0.5000758323846667,2,0.25263157894736843,0
AD Mathews,Death,423,273,22.0,154.94505494505495,19.227272727272727,0.5789087399334427,0.18035055350553506,0.4991971026478612,2,0.23157894736842105,1
Abdul Samad,Death,151,95,12.0,158.94736842105263,12.583333333333334,0.5957528771608804,0.11293050430504306,0.499188402589713,2,0.12631578947368421,1
STR Binny,Death,396,256,21.0,154.6875,18.857142857142858,0.5778247941445565,0.17659462308908805,0.4975787599334628,2,0.22105263157894736,1
PVD Chameera,Death,43,27,4.0,159.25925925925927,10.75,0.5970655009996274,0.09432656826568266,0.4965177144528385,2,0.042105263157894736,1
AN Ahmed,Death,36,25,1.0,144.0,36.0,0.5328453796889296,0.3505535055350553,0.4963870048581548,2,0.010526315789473684,1
LH Ferguson,Death,63,43,2.0,146.51162790697674,31.5,0.5434158173578163,0.3048892988929889,0.4957105136648508,2,0.021052631578947368,1
RA Jadeja,Death,1360,893,64.0,152.2956326987682,21.25,0.5677583809829221,0.20087638376383762,0.4943819815391052,2,0.6736842105263158,0
MK Pandey,Death,643,425,29.0,151.2941176470588,22.17241379310345,0.5635434045530381,0.21023667133223056,0.4928820579088766,2,0.30526315789473685,1
S Anirudha,Death,76,49,5.0,155.10204081632654,15.2,0.579569430700002,0.13948339483394834,0.4915522235267913,2,0.05263157894736842,0
Harbhajan Singh,Death,616,398,40.0,154.77386934673368,15.4,0.5781882881930238,0.1415129151291513,0.49085321358024936,2,0.42105263157894735,1
AR Patel,Death,653,426,37.0,153.28638497652582,17.64864864864865,0.5719280612003833,0.1643313054752169,0.49040871005535003,2,0.3894736842105263,1
JEC Franklin,Death,97,65,4.0,149.23076923076923,24.25,0.5548595960306849,0.2313191881918819,0.4901515144629243,2,0.042105263157894736,1
D Pretorius,Death,44,28,4.0,157.14285714285714,11.0,0.5881584106652726,0.09686346863468635,0.4898994222591554,2,0.042105263157894736,1
Mandeep Singh,Death,410,268,24.0,152.98507462686567,17.083333333333332,0.570659966407669,0.15859471094710945,0.48824691531555714,2,0.25263157894736843,1
R Parag,Death,308,199,22.0,154.77386934673368,14.0,0.5781882881930238,0.12730627306273062,0.4880118851669652,2,0.23157894736842105,0
DR Smith,Death,167,107,16.0,156.07476635514018,10.4375,0.583663243580645,0.09115544280442804,0.48516168342540167,2,0.16842105263157894,1
MK Tiwary,Death,592,397,27.0,149.1183879093199,21.925925925925927,0.5543866279806694,0.20773541068744023,0.4850563845220236,2,0.28421052631578947,0
SS Tiwary,Death,452,306,20.0,147.7124183006536,22.6,0.5484694640283685,0.21457564575645757,0.48169070037398637,2,0.21052631578947367,0
B Akhil,Death,49,32,4.0,153.125,12.25,0.5712488563586461,0.1095479704797048,0.47890867918285784,2,0.042105263157894736,1
SN Thakur,Death,128,83,13.0,154.21686746987953,9.846153846153847,0.5758440899921738,0.08515469770082316,0.47770621153390375,2,0.1368421052631579,1
AP Tare,Death,40,26,4.0,153.84615384615387,10.0,0.5742839045675279,0.08671586715867159,0.47677029708575663,2,0.042105263157894736,0
Abhishek Sharma,Death,131,87,9.0,150.57471264367817,14.555555555555555,0.5605157165241718,0.1329438294382944,0.47500133910699627,2,0.09473684210526316,1
Washington Sundar,Death,207,136,18.0,152.20588235294116,11.5,0.5673806576610517,0.10193726937269373,0.47429198000338013,2,0.18947368421052632,0
A Manohar,Death,49,32,5.0,153.125,9.8,0.5712488563586461,0.08468634686346864,0.47393635445961063,2,0.05263157894736842,1
H Klaasen,Death,45,31,2.0,145.16129032258064,22.5,0.5377327863530386,0.21356088560885608,0.4728984062042021,2,0.021052631578947368,1
M Shahrukh Khan,Death,136,91,9.0,149.45054945054946,15.11111111111111,0.5557845631038679,0.13858138581385812,0.472343927645866,2,0.09473684210526316,0
S Rana,Death,64,46,2.0,139.1304347826087,32.0,0.5123513266239709,0.3099630996309963,0.471873681225376,2,0.021052631578947368,0
HV Patel,Death,182,120,17.0,151.66666666666666,10.705882352941176,0.5651113144251297,0.09387887996527024,0.47086482753315784,2,0.17894736842105263,1
A Ashish Reddy,Death,214,144,14.0,148.61111111111111,15.285714285714286,0.5522517027549051,0.14035318924617818,0.4698720000531597,2,0.14736842105263157,1
Y Nagar,Death,179,121,11.0,147.93388429752065,16.272727272727273,0.5494015258633075,0.15036900369003692,0.4695950214286534,2,0.11578947368421053,1
CA Ingram,Death,63,42,5.0,150.0,12.6,0.5580969807868253,0.11309963099630996,0.4690975108287223,2,0.05263157894736842,1
DL Vettori,Death,74,52,3.0,142.30769230769232,24.666666666666668,0.5257231332254207,0.23554735547355474,0.46768797767504755,2,0.031578947368421054,1
KM Jadhav,Death,545,382,23.0,142.67015706806282,23.695652173913043,0.5272486024822407,0.22569388737365634,0.46693765946052385,2,0.24210526315789474,1
G Gambhir,Death,268,184,15.0,145.65217391304347,17.866666666666667,0.5397987191216835,0.16654366543665436,0.46514770838467767,2,0.15789473684210525,0
Shashank Singh,Death,47,32,3.0,146.875,15.666666666666666,0.5449451052150047,0.14421894218942188,0.4647998726098882,2,0.031578947368421054,0
SB Styris,Death,40,27,3.0,148.14814814814815,13.333333333333334,0.550303276744265,0.12054120541205413,0.46435086247782287,2,0.031578947368421054,1
LA Pomersbach,Death,67,47,3.0,142.5531914893617,22.333333333333332,0.5267563411263165,0.21186961869618695,0.4637789966402906,2,0.031578947368421054,1
DJG Sammy,Death,136,92,11.0,147.82608695652172,12.363636363636363,0.5489478499542544,0.11070110701107011,0.4612985013656175,2,0.11578947368421053,1
R Sathish,Death,164,113,10.0,145.13274336283186,16.4,0.5376126436130162,0.15166051660516602,0.4604222182114462,2,0.10526315789473684,1
RA Tripathi,Death,190,129,15.0,147.28682170542635,12.666666666666666,0.5466782981198183,0.1137761377613776,0.4600978660481302,2,0.15789473684210525,1
R Bhatia,Death,251,169,24.0,148.5207100591716,10.458333333333334,0.5518712408711706,0.09136685116851169,0.45977036293063883,2,0.25263157894736843,1
MR Marsh,Death,168,114,14.0,147.36842105263156,12.0,0.5470217171473973,0.1070110701107011,0.4590195877400581,2,0.14736842105263157,1
C de Grandhomme,Death,154,109,7.0,141.28440366972478,22.0,0.5214165204764265,0.20848708487084872,0.45883063335531094,2,0.07368421052631578,1
TK Curran,Death,69,48,4.0,143.75,17.25,0.531793229643184,0.1602859778597786,0.457491779286503,2,0.042105263157894736,1
P Negi,Death,256,176,18.0,145.45454545454547,14.222222222222221,0.5389669799550862,0.12956129561295612,0.4570858430866602,2,0.18947368421052632,1
DB Ravi Teja,Death,167,114,14.0,146.49122807017542,11.928571428571429,0.5433299626009214,0.10628624143384291,0.45592121836750565,2,0.14736842105263157,1
DJ Hooda,Death,409,280,34.0,146.07142857142856,12.029411764705882,0.5415631943536793,0.10730952897764272,0.454712461278472,2,0.35789473684210527,1
BB Samantray,Death,42,29,3.0,144.82758620689654,14.0,0.5363283591507083,0.12730627306273062,0.4545239419331128,2,0.031578947368421054,1
Iqbal Abdulla,Death,70,53,2.0,132.0754716981132,35.0,0.48265980769562755,0.34040590405904053,0.4542090269683102,2,0.021052631578947368,1
OF Smith,Death,48,35,2.0,137.14285714285714,24.0,0.5039864070056203,0.2287822878228782,0.44894558316907185,2,0.021052631578947368,1
DH Yagnik,Death,95,68,5.0,139.70588235294116,19.0,0.514773155373769,0.17804428044280443,0.4474273803875761,2,0.05263157894736842,1
TL Suman,Death,144,104,7.0,138.46153846153845,20.571428571428573,0.5095362094447182,0.19399051133368478,0.44642706982251157,2,0.07368421052631578,1
SB Bangar,Death,32,22,4.0,145.45454545454547,8.0,0.5389669799550862,0.06642066420664207,0.4444577168053974,2,0.042105263157894736,0
LR Shukla,Death,219,156,14.0,140.3846153846154,15.642857142857142,0.5176296713350694,0.14397733263046916,0.4428992035941494,2,0.14736842105263157,0
M Manhas,Death,244,181,10.0,134.80662983425415,24.4,0.49415416032714476,0.23284132841328412,0.44189159394437266,2,0.10526315789473684,1
